release_date,title,character
"March 7, 2012",Avengers: The Children's Crusade Vol 1 9,Peter Parker (Earth-616)
"March 7, 2012",Fear Itself: The Fearless Vol 1 10,Peter Parker (Earth-616)
"March 14, 2012",Avengers Assemble Vol 2 1,Peter Parker (Earth-616)
"March 14, 2012","Carnage, U.S.A. Vol 1 4",Peter Parker (Earth-616)
"March 14, 2012",Avengers Vol 4 24,Peter Parker (Earth-616)
"March 14, 2012",Fantastic Four Vol 1 604,Peter Parker (Earth-616)
"March 14, 2012",Journey Into Mystery Vol 1 635,Peter Parker (Earth-616)
"March 21, 2012",Amazing Spider-Man Vol 1 682,Peter Parker (Earth-616)
"March 21, 2012",Fear Itself: The Fearless Vol 1 11,Peter Parker (Earth-616)
"March 21, 2012",Avengers: X-Sanction Vol 1 4,Peter Parker (Earth-616)
"March 21, 2012",Uncanny X-Men Vol 2 9,Peter Parker (Earth-616)
"March 28, 2012",Avenging Spider-Man Vol 1 5,Peter Parker (Earth-616)
"March 28, 2012",Daken: Dark Wolverine Vol 1 23,Peter Parker (Earth-616)
"March 28, 2012",FF Vol 1 16,Peter Parker (Earth-616)
"March 28, 2012",New Avengers Vol 2 23,Peter Parker (Earth-616)
"April 4, 2012",Amazing Spider-Man Vol 1 683,Peter Parker (Earth-616)
"April 4, 2012",Avengers vs. X-Men Vol 1 1,Peter Parker (Earth-616)
"April 4, 2012",Hulk Vol 2 50,Peter Parker (Earth-616)
"April 4, 2012",Venom Vol 2 15,Peter Parker (Earth-616)
"April 11, 2012",Avenging Spider-Man Vol 1 6,Peter Parker (Earth-616)
"April 11, 2012",New Avengers Vol 2 24,Peter Parker (Earth-616)
"April 11, 2012","Carnage, U.S.A. Vol 1 5",Peter Parker (Earth-616)
"April 11, 2012",Uncanny X-Men Vol 2 10,Peter Parker (Earth-616)
"April 18, 2012",Amazing Spider-Man Vol 1 684,Peter Parker (Earth-616)
"April 18, 2012",Avengers Vol 4 25,Peter Parker (Earth-616)
"April 18, 2012",Avengers vs. X-Men Vol 1 2,Peter Parker (Earth-616)
"April 18, 2012",Punisher Vol 9 10,Peter Parker (Earth-616)
"April 25, 2012",Daredevil Vol 3 11,Peter Parker (Earth-616)
"April 25, 2012",FF Vol 1 17,Peter Parker (Earth-616)
"April 25, 2012",Uncanny X-Men Vol 2 11,Peter Parker (Earth-616)
"May 2, 2012",Amazing Spider-Man Vol 1 685,Peter Parker (Earth-616)
"May 2, 2012",Avengers vs. X-Men Vol 1 3,Peter Parker (Earth-616)
"May 2, 2012",Daredevil Vol 3 12,Peter Parker (Earth-616)
"May 2, 2012",X-Men Vol 3 28,Peter Parker (Earth-616)
"May 5, 2012",Free Comic Book Day 2012 (Spider-Man: Season One) Vol 1 1,Peter Parker (Earth-616)
"May 9, 2012",Avenging Spider-Man Vol 1 7,Peter Parker (Earth-616)
"May 9, 2012",Wolverine & the X-Men Vol 1 10,Peter Parker (Earth-616)
"May 16, 2012",Amazing Spider-Man: Ends of the Earth Vol 1 1,Peter Parker (Earth-616)
"May 16, 2012",Avengers vs. X-Men Vol 1 4,Peter Parker (Earth-616)
"May 16, 2012",AVX: Vs Vol 1 2,Peter Parker (Earth-616)
"May 16, 2012",Daredevil Vol 3 13,Peter Parker (Earth-616)
"May 16, 2012",Venom Vol 2 18,Peter Parker (Earth-616)
"May 23, 2012",Amazing Spider-Man Vol 1 686,Peter Parker (Earth-616)
"May 23, 2012",Secret Avengers Vol 1 27,Peter Parker (Earth-616)
"May 30, 2012",Amazing Spider-Man Annual Vol 1 39,Peter Parker (Earth-616)
"May 30, 2012",Wolverine & the X-Men Vol 1 11,Peter Parker (Earth-616)
"May 30, 2012",X-Men Vol 3 29,Peter Parker (Earth-616)
"June 13, 2012",Amazing Spider-Man Vol 1 687,Peter Parker (Earth-616)
"June 13, 2012",Spider-Men Vol 1 1,Peter Parker (Earth-616)
"June 20, 2012",Astonishing X-Men Vol 3 51,Peter Parker (Earth-616)
"June 20, 2012",New Avengers Vol 2 27,Peter Parker (Earth-616)
"June 20, 2012",Avenging Spider-Man Vol 1 8,Peter Parker (Earth-616)
"June 27, 2012",Amazing Spider-Man Vol 1 688,Peter Parker (Earth-616)
"June 27, 2012",Spider-Men Vol 1 2,Peter Parker (Earth-616)
"July 4, 2012",Amazing Spider-Man Vol 1 689,Peter Parker (Earth-616)
"July 4, 2012",Avengers vs. X-Men Vol 1 7,Peter Parker (Earth-616)
"July 11, 2012",Avenging Spider-Man Vol 1 9,Peter Parker (Earth-616)
"July 11, 2012",Spider-Men Vol 1 3,Peter Parker (Earth-616)
"July 18, 2012",Avengers vs. X-Men Vol 1 8,Peter Parker (Earth-616)
"July 18, 2012",Captain Marvel Vol 7 1,Peter Parker (Earth-616)
"July 25, 2012",Amazing Spider-Man Vol 1 690,Peter Parker (Earth-616)
"July 25, 2012",Astonishing X-Men Vol 3 52,Peter Parker (Earth-616)
"July 25, 2012",Avengers Vol 4 28,Peter Parker (Earth-616)
"August 1, 2012",Avengers vs. X-Men Vol 1 9,Peter Parker (Earth-616)
"August 1, 2012",Avenging Spider-Man Vol 1 10,Peter Parker (Earth-616)
"August 1, 2012","Peter Parker, Spider-Man Vol 1 156.1",Peter Parker (Earth-616)
"August 8, 2012",Avengers Assemble Vol 2 6,Peter Parker (Earth-616)
"August 8, 2012",Fantastic Four Vol 1 609,Peter Parker (Earth-616)
"August 8, 2012",Sensational Spider-Man Vol 1 33.1,Peter Parker (Earth-616)
"August 8, 2012",Spider-Men Vol 1 4,Peter Parker (Earth-616)
"August 8, 2012",Venom Vol 2 22,Peter Parker (Earth-616)
"August 15, 2012",Amazing Spider-Man Vol 1 691,Peter Parker (Earth-616)
"August 15, 2012",Avengers vs. X-Men Vol 1 10,Peter Parker (Earth-616)
"August 15, 2012",Sensational Spider-Man Vol 1 33.2,Peter Parker (Earth-616)
"August 22, 2012",Amazing Spider-Man Vol 1 692,Peter Parker (Earth-616)
"August 22, 2012",Web of Spider-Man Vol 1 129.1,Peter Parker (Earth-616)
"August 29, 2012",Avenging Spider-Man Vol 1 11,Peter Parker (Earth-616)
"August 29, 2012",FF Vol 1 21,Peter Parker (Earth-616)
"August 29, 2012",Web of Spider-Man Vol 1 129.2,Peter Parker (Earth-616)
"September 5, 2012",Amazing Spider-Man Vol 1 693,Peter Parker (Earth-616)
"September 12, 2012",Avengers vs. X-Men Vol 1 11,Peter Parker (Earth-616)
"September 12, 2012",Avenging Spider-Man Vol 1 12,Peter Parker (Earth-616)
"September 12, 2012",Fantastic Four Vol 1 610,Peter Parker (Earth-616)
"September 19, 2012",Avengers Vol 4 30,Peter Parker (Earth-616)
"September 19, 2012",Spider-Men Vol 1 5,Peter Parker (Earth-616)
"September 26, 2012",Amazing Spider-Man Vol 1 694,Peter Parker (Earth-616)
"September 26, 2012",FF Vol 1 22,Peter Parker (Earth-616)
"October 3, 2012",Amazing Spider-Man Vol 1 695,Peter Parker (Earth-616)
"October 3, 2012",Avengers vs. X-Men Vol 1 12,Peter Parker (Earth-616)
"October 10, 2012",Avengers Vol 4 31,Peter Parker (Earth-616)
"October 10, 2012",Avenging Spider-Man Vol 1 13,Peter Parker (Earth-616)
"October 17, 2012",Avengers Assemble Vol 2 8,Peter Parker (Earth-616)
"October 17, 2012",New Avengers Vol 2 31,Peter Parker (Earth-616)
"October 24, 2012",Amazing Spider-Man Vol 1 696,Peter Parker (Earth-616)
"October 24, 2012",Avengers Vol 4 32,Peter Parker (Earth-616)
"October 24, 2012",Punisher: War Zone Vol 3 1,Peter Parker (Earth-616)
"October 31, 2012",Avenging Spider-Man Annual Vol 1 1,Peter Parker (Earth-616)
"October 31, 2012",Wolverine & the X-Men Vol 1 19,Peter Parker (Earth-616)
"November 7, 2012",Avengers Vol 4 33,Peter Parker (Earth-616)
"November 7, 2012",Avenging Spider-Man Vol 1 14,Peter Parker (Earth-616)
"November 7, 2012",New Avengers Vol 2 32,Peter Parker (Earth-616)
"November 14, 2012",Amazing Spider-Man Vol 1 697,Peter Parker (Earth-616)
"November 14, 2012",Avengers Assemble Vol 2 9,Peter Parker (Earth-616)
"November 14, 2012",New Avengers Vol 2 33,Peter Parker (Earth-616)
"November 21, 2012",Avengers Vol 4 34,Peter Parker (Earth-616)
"November 21, 2012",Amazing Spider-Man Vol 1 698,Peter Parker (Earth-616)
"November 21, 2012",Dark Avengers Vol 1 183,Peter Parker (Earth-616)
"November 28, 2012",New Avengers Vol 2 34,Peter Parker (Earth-616)
"November 28, 2012",Uncanny Avengers Vol 1 2,Peter Parker (Earth-616)
"November 28, 2012",Venom Vol 2 27.1,Peter Parker (Earth-616)
"December 5, 2012",Amazing Spider-Man Vol 1 699,Peter Parker (Earth-616)
"December 5, 2012",Avengers Vol 5 1,Peter Parker (Earth-616)
"December 5, 2012",Avenging Spider-Man Vol 1 15,Peter Parker (Earth-616)
"December 12, 2012",Amazing Spider-Man Vol 1 699.1,Peter Parker (Earth-616)
"December 19, 2012",Avengers Vol 5 2,Peter Parker (Earth-616)
"December 19, 2012",Hawkeye Vol 4 6,Peter Parker (Earth-616)
"December 19, 2012",Secret Avengers Vol 1 35,Peter Parker (Earth-616)
"December 26, 2012",Avenging Spider-Man Vol 1 15.1,Peter Parker (Earth-616)
"December 26, 2012",Amazing Spider-Man Vol 1 700,Peter Parker (Earth-616)
"January 9, 2013",Punisher: War Zone Vol 3 3,Peter Parker (Earth-616)
"January 9, 2013",Secret Avengers Vol 1 36,Peter Parker (Earth-616)
"January 9, 2013",Superior Spider-Man Vol 1 1,Peter Parker (Earth-616)
"January 16, 2013",Alpha: Big Time Vol 1 0.1,Peter Parker (Earth-616)
"January 16, 2013",Avengers Assemble Vol 2 11,Peter Parker (Earth-616)
"January 23, 2013",A + X Vol 1 4,Peter Parker (Earth-616)
"January 23, 2013",Avengers Vol 5 3,Peter Parker (Earth-616)
"January 30, 2013",Punisher: War Zone Vol 3 4,Peter Parker (Earth-616)
"January 30, 2013",Superior Spider-Man Vol 1 2,Peter Parker (Earth-616)
"February 6, 2013",Secret Avengers Vol 1 37,Peter Parker (Earth-616)
"February 6, 2013",Superior Spider-Man Vol 1 3,Peter Parker (Earth-616)
"February 6, 2013",Venom Vol 2 31,Peter Parker (Earth-616)
"February 13, 2013",Scarlet Spider Vol 2 14,Peter Parker (Earth-616)
"February 20, 2013",Alpha: Big Time Vol 1 1,Peter Parker (Earth-616)
"February 20, 2013",Superior Spider-Man Vol 1 4,Peter Parker (Earth-616)
"February 27, 2013",Punisher: War Zone Vol 3 5,Peter Parker (Earth-616)
"March 6, 2013",Superior Spider-Man Vol 1 5,Peter Parker (Earth-616)
"March 20, 2013",Superior Spider-Man Vol 1 6,Peter Parker (Earth-616)
"April 3, 2013",Deadpool Vol 5 7,Peter Parker (Earth-616)
"April 3, 2013",Superior Spider-Man Vol 1 7,Peter Parker (Earth-616)
"April 17, 2013",Superior Spider-Man Vol 1 8,Peter Parker (Earth-616)
"May 1, 2013",Superior Spider-Man Vol 1 9,Peter Parker (Earth-616)
"June 12, 2013",Savage Wolverine Vol 1 6,Peter Parker (Earth-616)
"June 19, 2013",Superior Spider-Man Vol 1 12,Peter Parker (Earth-616)
"July 10, 2013",Superior Spider-Man Vol 1 13,Peter Parker (Earth-616)
"July 3, 2013",Superior Foes of Spider-Man Vol 1 1,Peter Parker (Earth-616)
"August 28, 2013",Secret Avengers Vol 2 8,Peter Parker (Earth-616)
"September 18, 2013",Savage Wolverine Vol 1 8,Peter Parker (Earth-616)
"September 18, 2013",Superior Spider-Man Vol 1 18,Peter Parker (Earth-616)
"September 25, 2013",Scarlet Spider Vol 2 22,Peter Parker (Earth-616)
"October 2, 2013",Daredevil: Dark Nights Vol 1 5,Peter Parker (Earth-616)
"October 2, 2013",Marvel Knights: Spider-Man Vol 2 1,Peter Parker (Earth-616)
"October 16, 2013",Superior Spider-Man Vol 1 19,Peter Parker (Earth-616)
"October 23, 2013",Superior Carnage Vol 1 4,Peter Parker (Earth-616)
"November 6, 2013",Marvel Knights: Spider-Man Vol 2 2,Peter Parker (Earth-616)
"October 30, 2013",Superior Spider-Man Vol 1 20,Peter Parker (Earth-616)
"November 20, 2013",Superior Spider-Man Annual Vol 1 1,Peter Parker (Earth-616)
"November 13, 2013",Superior Spider-Man Vol 1 21,Peter Parker (Earth-616)
"November 27, 2013",Deadpool Annual Vol 3 1,Peter Parker (Earth-616)
"November 27, 2013",Nova Vol 5 10,Peter Parker (Earth-616)
"December 4, 2013",Amazing Spider-Man Vol 1 700.1,Peter Parker (Earth-616)
"December 4, 2013",Marvel Knights: Spider-Man Vol 2 3,Peter Parker (Earth-616)
"December 4, 2013",Superior Spider-Man Vol 1 23,Peter Parker (Earth-616)
"December 11, 2013",Amazing Spider-Man Vol 1 700.2,Peter Parker (Earth-616)
"December 11, 2013",Amazing Spider-Man Vol 1 700.3,Peter Parker (Earth-616)
"December 18, 2013",Amazing Spider-Man Vol 1 700.4,Peter Parker (Earth-616)
"December 18, 2013",Amazing Spider-Man Vol 1 700.5,Peter Parker (Earth-616)
"December 18, 2013",Uncanny X-Force Vol 2 15,Peter Parker (Earth-616)
"January 8, 2014",Marvel Knights: Spider-Man Vol 2 4,Peter Parker (Earth-616)
"January 8, 2014",A + X Vol 1 16,Peter Parker (Earth-616)
"January 29, 2014",Superior Spider-Man Vol 1 26,Peter Parker (Earth-616)
"February 5, 2014",Marvel Knights: Spider-Man Vol 2 5,Peter Parker (Earth-616)
"February 12, 2014",Superior Spider-Man Vol 1 27.NOW,Peter Parker (Earth-616)
"February 26, 2014",Mighty Avengers Vol 2 7,Peter Parker (Earth-616)
"February 26, 2014",Superior Spider-Man Vol 1 28,Peter Parker (Earth-616)
"March 12, 2014",Fantastic Four Vol 5 2,Peter Parker (Earth-616)
"March 12, 2014",Superior Spider-Man Vol 1 29,Peter Parker (Earth-616)
"March 19, 2014",Superior Foes of Spider-Man Vol 1 10,Peter Parker (Earth-616)
"March 19, 2014",Thunderbolts Vol 2 23,Peter Parker (Earth-616)
"March 26, 2014",Superior Spider-Man Vol 1 30,Peter Parker (Earth-616)
"May 6, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 1,Peter Parker (Earth-616)
"May 6, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 2,Peter Parker (Earth-616)
"May 6, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 3,Peter Parker (Earth-616)
"May 6, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 4,Peter Parker (Earth-616)
"April 2, 2014",Amazing Spider-Man: Family Business Vol 1 1,Peter Parker (Earth-616)
"April 2, 2014",New Warriors Vol 5 3,Peter Parker (Earth-616)
"April 9, 2014",Superior Foes of Spider-Man Vol 1 11,Peter Parker (Earth-616)
"April 16, 2014",Superior Spider-Man Vol 1 31,Peter Parker (Earth-616)
"April 23, 2014",Superior Spider-Man Team-Up Vol 1 12,Peter Parker (Earth-616)
"April 30, 2014",Amazing Spider-Man Vol 3 1,Peter Parker (Earth-616)
"May 7, 2014",Amazing Spider-Man Vol 3 1.1,Peter Parker (Earth-616)
"May 7, 2014",Original Sin Vol 1 1,Peter Parker (Earth-616)
"May 14, 2014",X-Force Vol 4 5,Peter Parker (Earth-616)
"May 21, 2014",Amazing Spider-Man Vol 3 2,Peter Parker (Earth-616)
"May 21, 2014",Amazing X-Men Vol 2 7,Peter Parker (Earth-616)
"May 21, 2014",Deadpool Annual Vol 3 2,Peter Parker (Earth-616)
"May 21, 2014",Original Sin Vol 1 2,Peter Parker (Earth-616)
"May 28, 2014",Giant-Size Spider-Man Vol 2 1,Peter Parker (Earth-616)
"July 22, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 5,Peter Parker (Earth-616)
"July 22, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 6,Peter Parker (Earth-616)
"July 22, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 7,Peter Parker (Earth-616)
"July 22, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 8,Peter Parker (Earth-616)
"June 4, 2014",Original Sin Vol 1 3,Peter Parker (Earth-616)
"June 11, 2014",Amazing Spider-Man Vol 3 1.2,Peter Parker (Earth-616)
"June 11, 2014",Mighty Avengers Vol 2 11,Peter Parker (Earth-616)
"June 11, 2014",Original Sins Vol 1 1,Peter Parker (Earth-616)
"June 18, 2014",Nova Vol 5 18,Peter Parker (Earth-616)
"June 25, 2014",Amazing Spider-Man Vol 3 3,Peter Parker (Earth-616)
"June 25, 2014",Fantastic Four Vol 5 6,Peter Parker (Earth-616)
"June 25, 2014",Original Sin Vol 1 3.1,Peter Parker (Earth-616)
"August 7, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 9,Peter Parker (Earth-616)
"July 2, 2014",Original Sin Vol 1 5,Peter Parker (Earth-616)
"July 9, 2014",Amazing Spider-Man Vol 3 1.3,Peter Parker (Earth-616)
"July 9, 2014",Original Sin Vol 1 5.1,Peter Parker (Earth-616)
"July 9, 2014",Original Sins Vol 1 3,Peter Parker (Earth-616)
"July 16, 2014",Original Sin Vol 1 6,Peter Parker (Earth-616)
"July 23, 2014",Amazing Spider-Man Vol 3 4,Peter Parker (Earth-616)
"July 23, 2014",Daredevil Vol 4 6,Peter Parker (Earth-616)
"August 13, 2014",Amazing Spider-Man Vol 3 5,Peter Parker (Earth-616)
"August 13, 2014",Original Sin Vol 1 7,Peter Parker (Earth-616)
"August 27, 2014",Amazing Spider-Man Vol 3 1.4,Peter Parker (Earth-616)
"August 27, 2014",Wolverine Vol 6 12,Peter Parker (Earth-616)
"September 3, 2014",Captain America Vol 7 24,Peter Parker (Earth-616)
"September 10, 2014",Amazing Spider-Man Vol 3 6,Peter Parker (Earth-616)
"September 17, 2014",All-New X-Men Vol 1 32,Peter Parker (Earth-616)
"September 24, 2014",Amazing Spider-Man Vol 3 1.5,Peter Parker (Earth-616)
"November 11, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 10,Peter Parker (Earth-616)
"November 11, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 11,Peter Parker (Earth-616)
"November 11, 2014",Amazing Spider-Man: Who Am I? Infinite Comic Vol 1 12,Peter Parker (Earth-616)
"October 1, 2014",Captain America Vol 7 25,Peter Parker (Earth-616)
"October 8, 2014",Amazing Spider-Man Vol 3 7,Peter Parker (Earth-616)
"October 15, 2014",Fantastic Four Vol 5 11,Peter Parker (Earth-616)
"October 22, 2014",AXIS: Hobgoblin Vol 1 1,Peter Parker (Earth-616)
"October 22, 2014",Amazing Spider-Man Vol 3 8,Peter Parker (Earth-616)
"October 29, 2014",AXIS: Carnage Vol 1 1,Peter Parker (Earth-616)
"October 29, 2014",AXIS: Revolutions Vol 1 1,Peter Parker (Earth-616)
"October 29, 2014",Fantastic Four Vol 5 12,Peter Parker (Earth-616)
"October 29, 2014",Marvel 75th Anniversary Celebration Vol 1 1,Peter Parker (Earth-616)
"October 29, 2014",Wolverine & the X-Men Vol 2 11,Peter Parker (Earth-616)
"November 5, 2014",Amazing Spider-Man Vol 3 9,Peter Parker (Earth-616)
"November 5, 2014",Avengers & X-Men: AXIS Vol 1 4,Peter Parker (Earth-616)
"November 12, 2014",Avengers & X-Men: AXIS Vol 1 5,Peter Parker (Earth-616)
"November 12, 2014",Captain America and the Mighty Avengers Vol 1 1,Peter Parker (Earth-616)
"November 12, 2014",Nova Vol 5 23,Peter Parker (Earth-616)
"November 12, 2014",Thor Vol 4 2,Peter Parker (Earth-616)
"November 19, 2014",Amazing Spider-Man Vol 3 10,Peter Parker (Earth-616)
"November 19, 2014",Avengers & X-Men: AXIS Vol 1 6,Peter Parker (Earth-616)
"November 19, 2014",Black Widow Vol 5 12,Peter Parker (Earth-616)
"November 19, 2014",Spider-Woman Vol 5 1,Peter Parker (Earth-616)
"November 26, 2014",New Warriors Vol 5 12,Peter Parker (Earth-616)
"November 26, 2014",Nova Vol 5 24,Peter Parker (Earth-616)
"November 26, 2014",Superior Foes of Spider-Man Vol 1 17,Peter Parker (Earth-616)
"December 10, 2014",Amazing Spider-Man Annual Vol 2 1,Peter Parker (Earth-616)
"December 10, 2014",Amazing Spider-Man Vol 3 11,Peter Parker (Earth-616)
"December 10, 2014",Avengers & X-Men: AXIS Vol 1 7,Peter Parker (Earth-616)
"December 10, 2014",Spider-Man and the X-Men Vol 1 1,Peter Parker (Earth-616)
"December 17, 2014",Avengers & X-Men: AXIS Vol 1 8,Peter Parker (Earth-616)
"December 17, 2014",Fantastic Four Vol 5 14,Peter Parker (Earth-616)
"December 17, 2014",Inhuman Vol 1 10,Peter Parker (Earth-616)
"December 24, 2014",Avengers & X-Men: AXIS Vol 1 9,Peter Parker (Earth-616)
"December 24, 2014",Captain America and the Mighty Avengers Vol 1 3,Peter Parker (Earth-616)
"December 24, 2014",New Avengers Vol 3 28,Peter Parker (Earth-616)
"December 24, 2014",Nova Vol 5 25,Peter Parker (Earth-616)
"January 7, 2015",Amazing Spider-Man Vol 3 12,Peter Parker (Earth-616)
"January 7, 2015",Avengers: No More Bullying Vol 1 1,Peter Parker (Earth-616)
"January 21, 2015",Amazing Spider-Man Vol 3 13,Peter Parker (Earth-616)
"January 21, 2015",Fantastic Four Vol 1 642,Peter Parker (Earth-616)
"January 21, 2015",Guardians of the Galaxy Vol 3 23,Peter Parker (Earth-616)
"January 21, 2015",Spider-Verse Team-Up Vol 1 3,Peter Parker (Earth-616)
"January 28, 2015",Inhuman Vol 1 11,Peter Parker (Earth-616)
"January 21, 2015",Spider-Woman Vol 5 3,Peter Parker (Earth-616)
"January 28, 2015",Spider-Man 2099 Vol 2 8,Peter Parker (Earth-616)
"January 28, 2015",Spider-Man and the X-Men Vol 1 2,Peter Parker (Earth-616)
"January 28, 2015",Thor Vol 4 4,Peter Parker (Earth-616)
"February 11, 2015",Amazing Spider-Man Vol 3 14,Peter Parker (Earth-616)
"February 11, 2015",Spider-Woman Vol 5 4,Peter Parker (Earth-616)
"February 18, 2015",Captain America and the Mighty Avengers Vol 1 5,Peter Parker (Earth-616)
"February 18, 2015",Silk Vol 1 1,Peter Parker (Earth-616)
"February 24, 2015",Avengers: Millennium Infinite Comic Vol 1 1,Peter Parker (Earth-616)
"February 24, 2015",Avengers: Millennium Infinite Comic Vol 1 2,Peter Parker (Earth-616)
"February 24, 2015",Avengers: Millennium Infinite Comic Vol 1 3,Peter Parker (Earth-616)
"February 25, 2015",Amazing Spider-Man Vol 3 15,Peter Parker (Earth-616)
"February 25, 2015",Fantastic Four Vol 1 643,Peter Parker (Earth-616)
"February 25, 2015",S.H.I.E.L.D. Vol 3 3,Peter Parker (Earth-616)
"March 4, 2015",Avengers Vol 5 42,Peter Parker (Earth-616)
"February 25, 2015",Spider-Man and the X-Men Vol 1 3,Peter Parker (Earth-616)
"March 11, 2015",Amazing Spider-Man Special Vol 1 1,Peter Parker (Earth-616)
"March 11, 2015",Amazing Spider-Man Vol 3 16,Peter Parker (Earth-616)
"March 11, 2015",Ant-Man Vol 1 3,Peter Parker (Earth-616)
"March 11, 2015",Fantastic Four Vol 1 644,Peter Parker (Earth-616)
"March 11, 2015",Howard the Duck Vol 5 1,Peter Parker (Earth-616)
"March 11, 2015",Spider-Man and the X-Men Vol 1 4,Peter Parker (Earth-616)
"March 18, 2015",Amazing Spider-Man Vol 3 16.1,Peter Parker (Earth-616)
"March 18, 2015",Avengers: Millennium Infinite Comic Vol 1 4,Peter Parker (Earth-616)
"March 18, 2015",Avengers: Millennium Infinite Comic Vol 1 6,Peter Parker (Earth-616)
"March 18, 2015",Silk Vol 1 2,Peter Parker (Earth-616)
"March 18, 2015",Captain America and the Mighty Avengers Vol 1 6,Peter Parker (Earth-616)
"April 1, 2015",Avengers: Millennium Vol 1 1,Peter Parker (Earth-616)
"April 1, 2015",Amazing Spider-Man Vol 3 17,Peter Parker (Earth-616)
"April 1, 2015",Avengers: Rage of Ultron Vol 1 1,Peter Parker (Earth-616)
"April 8, 2015",Avengers: Millennium Vol 1 2,Peter Parker (Earth-616)
"April 8, 2015",Deadpool Vol 5 45,Peter Parker (Earth-616)
"April 8, 2015",Howard the Duck Vol 5 2,Peter Parker (Earth-616)
"April 15, 2015",Avengers: Millennium Vol 1 3,Peter Parker (Earth-616)
"April 8, 2015",Spider-Man 2099 Vol 2 11,Peter Parker (Earth-616)
"April 15, 2015",Captain America and the Mighty Avengers Vol 1 7,Peter Parker (Earth-616)
"April 15, 2015",Spider-Man and the X-Men Vol 1 5,Peter Parker (Earth-616)
"April 22, 2015",Amazing Spider-Man Vol 3 17.1,Peter Parker (Earth-616)
"April 22, 2015",Avengers: Millennium Vol 1 4,Peter Parker (Earth-616)
"April 22, 2015",Inhuman Special Vol 1 1,Peter Parker (Earth-616)
"April 29, 2015",Fantastic Four Vol 1 645,Peter Parker (Earth-616)
"April 29, 2015",Silk Vol 1 3,Peter Parker (Earth-616)
"April 29, 2015",Spider-Man and the X-Men Vol 1 6,Peter Parker (Earth-616)
"May 2, 2015",Free Comic Book Day 2015 (Secret Wars) Vol 1 1,Peter Parker (Earth-616)
"May 6, 2015",All-New Captain America Special Vol 1 1,Peter Parker (Earth-616)
"May 6, 2015",Amazing Spider-Man Vol 3 18,Peter Parker (Earth-616)
"May 6, 2015",Secret Wars Vol 1 1,Peter Parker (Earth-616)
"May 6, 2015",Unbeatable Squirrel Girl Vol 1 5,Peter Parker (Earth-616)
"May 13, 2015",Captain America and the Mighty Avengers Vol 1 8,Peter Parker (Earth-616)
"May 13, 2015",Howard the Duck Vol 5 3,Peter Parker (Earth-616)
"May 13, 2015",Silk Vol 1 4,Peter Parker (Earth-616)
"May 20, 2015",Deadpool's Secret Secret Wars Vol 1 1,Peter Parker (Earth-616)
"May 20, 2015",Loki: Agent of Asgard Vol 1 14,Peter Parker (Earth-616)
"June 3, 2015",Amazing Spider-Man Vol 3 18.1,Peter Parker (Earth-616)
"June 3, 2015",Secret Wars Vol 1 3,Peter Parker (Earth-616)
"June 3, 2015",Unbeatable Squirrel Girl Vol 1 6,Peter Parker (Earth-616)
"June 10, 2015",Captain America and the Mighty Avengers Vol 1 9,Peter Parker (Earth-616)
"June 10, 2015",Silk Vol 1 5,Peter Parker (Earth-616)
"June 17, 2015",Deadpool's Secret Secret Wars Vol 1 2,Peter Parker (Earth-616)
"June 24, 2015",Howard the Duck Vol 5 4,Peter Parker (Earth-616)
"July 1, 2015",Amazing Spider-Man Vol 3 19.1,Peter Parker (Earth-616)
"July 1, 2015",Secret Wars Vol 1 4,Peter Parker (Earth-616)
"July 1, 2015",Unbeatable Squirrel Girl Vol 1 7,Peter Parker (Earth-616)
"July 29, 2015",Deadpool's Secret Secret Wars Vol 1 3,Peter Parker (Earth-616)
"August 12, 2015",Amazing Spider-Man Vol 3 20.1,Peter Parker (Earth-616)
"August 5, 2015",Guardians Team-Up Vol 1 9,Peter Parker (Earth-616)
"August 12, 2015",Unbeatable Squirrel Girl Vol 1 8,Peter Parker (Earth-616)
"August 12, 2015",Howard the Duck Vol 5 5,Peter Parker (Earth-616)
"August 19, 2015",Silk Vol 1 6,Peter Parker (Earth-616)
"August 26, 2015",Deadpool's Secret Secret Wars Vol 1 4,Peter Parker (Earth-616)
"September 2, 2015",Groot Vol 1 4,Peter Parker (Earth-616)
"September 30, 2015",S.H.I.E.L.D. Vol 3 10,Peter Parker (Earth-616)
"October 7, 2015","All-New, All-Different Point One Vol 1 1",Peter Parker (Earth-616)
"October 7, 2015",Amazing Spider-Man Vol 4 1,Peter Parker (Earth-616)
"October 7, 2015",Marvel Super Hero Spectacular Vol 1 1,Peter Parker (Earth-616)
"October 7, 2015",Secret Wars Vol 1 6,Peter Parker (Earth-616)
